name,language,stars,forks,size,last_pushed
ngrx/effects,TypeScript,419,69,88,2017-05-03T00:02:34Z
barbar/vortigern,TypeScript,417,88,486,2017-06-22T13:29:17Z
SAP/chevrotain,TypeScript,417,26,9945,2017-06-23T19:16:42Z
mseemann/angular2-mdl,TypeScript,414,68,5033,2017-06-23T23:19:59Z
akserg/ng2-dnd,TypeScript,413,124,375,2017-06-22T09:32:36Z
node-influx/node-influx,TypeScript,409,102,540,2017-06-13T13:15:11Z
learnrelay/learnrelay,TypeScript,406,26,32510,2017-06-14T15:31:27Z
r-park/todo-angular2-firebase,TypeScript,406,168,760,2017-05-13T01:07:23Z
ahomu/Talkie,TypeScript,405,26,2431,2017-06-23T19:23:51Z
camwest/react-slot-fill,TypeScript,405,11,2940,2017-05-17T09:51:34Z
simonbengtsson/jsPDF-AutoTable,TypeScript,393,131,4734,2017-05-28T16:22:40Z
SierraSoftworks/Iridium,TypeScript,383,22,2825,2017-06-09T21:07:36Z
Asana/typed-react,TypeScript,382,20,132,2016-01-11T19:48:41Z
danger/danger-js,TypeScript,382,38,1116,2017-06-23T18:25:04Z
facebook/remodel,TypeScript,379,42,274,2017-05-04T01:26:01Z
emilioastarita/lyricfier,TypeScript,376,35,2491,2017-06-19T12:53:46Z
mattlewis92/angular-calendar,TypeScript,373,115,64128,2017-06-21T18:06:07Z
valor-software/ng2-table,TypeScript,372,208,16576,2017-05-31T16:04:24Z
jkuri/ngx-uploader,TypeScript,366,170,332,2017-06-22T22:43:11Z
JMPerez/spotify-web-api-js,TypeScript,366,51,754,2017-06-20T07:54:21Z
tildeio/route-recognizer,TypeScript,366,82,583,2017-05-30T16:23:22Z
bcherny/json-schema-to-typescript,TypeScript,365,26,338,2017-06-23T15:58:48Z
laobubu/MarkdownIME,TypeScript,365,44,558,2016-04-02T17:58:45Z
PowerShell/vscode-powershell,TypeScript,364,91,774,2017-06-23T14:37:22Z
saviorisdead/RustyCode,TypeScript,364,55,285,2017-01-10T04:02:08Z
javascript-obfuscator/javascript-obfuscator,TypeScript,361,63,3515,2017-06-19T22:16:42Z
danrevah/ngx-pipes,TypeScript,361,39,1468,2017-06-13T07:17:55Z
xiaomoinfo/Angular2,TypeScript,359,188,63916,2017-05-23T01:54:45Z
finchalyzer/slinky,TypeScript,357,16,10939,2017-05-20T14:50:51Z
timbertson/shellshape,TypeScript,353,34,977,2017-03-27T10:10:46Z
presidential-innovation-fellows/code-gov-web,TypeScript,353,66,74216,2017-06-23T03:52:26Z
500tech/angular-tree-component,TypeScript,353,135,14853,2017-06-10T10:23:57Z
ionic-team/ionic-app-scripts,TypeScript,345,142,7858,2017-06-21T16:27:35Z
